,characters,losses,transfers,network_cost
0,K00390,4.0,6.0,10.0
1,K01637,4.0,1.0,5.0
2,K00568,0.0,1.0,1.0
3,K03644,2.0,3.0,5.0
4,K09001,0.0,3.0,3.0
5,K07166,2.0,7.0,9.0
6,K00990,2.0,1.0,3.0
7,K00163,1.0,1.0,2.0
8,K06929,3.0,3.0,6.0
9,K00457,0.0,1.0,1.0
10,K06193,2.0,6.0,8.0
11,K02116,0.0,5.0,5.0
12,K01029,3.0,4.0,7.0
13,K14162,2.0,1.0,3.0
14,K03752,4.0,8.0,12.0
15,K01595,4.0,3.0,7.0
16,K08973,2.0,1.0,3.0
17,K03117,3.0,3.0,6.0
18,K07139,3.0,2.0,5.0
19,K00363,5.0,2.0,7.0
20,K09773,6.0,3.0,9.0
21,K04041,3.0,2.0,5.0
22,K01640,1.0,5.0,6.0
23,K00940,6.0,1.0,7.0
24,K03613,7.0,1.0,8.0
25,K02303,3.0,3.0,6.0
26,K00241,3.0,5.0,8.0
27,K02415,1.0,3.0,4.0
28,K04755,0.0,2.0,2.0
29,K00275,1.0,3.0,4.0
30,K07516,1.0,1.0,2.0
31,K00019,5.0,3.0,8.0
32,K09767,3.0,2.0,5.0
33,K02535,0.0,3.0,3.0
34,K03801,1.0,2.0,3.0
35,K00705,7.0,1.0,8.0
36,K03089,0.0,1.0,1.0
37,K11473,1.0,1.0,2.0
38,K09780,3.0,5.0,8.0
39,K02427,0.0,2.0,2.0
40,K02446,2.0,3.0,5.0
41,K04764,0.0,1.0,1.0
42,K05788,0.0,2.0,2.0
43,K06871,2.0,4.0,6.0
44,K03666,1.0,2.0,3.0
